Map Label,Asset Name,Quantity,Lat,Lng
Trash Can,Turf Trash Can,2,37.7444541877,-122.44032658
Trash Can,Turf Trash Cans,3,37.7592866465,-122.427280143
Trash Can,Concrete Pathway Trash Cans,7,37.7582994788,-122.425990875
Trash Can,Picnic Area 4 Trash Cans,1,37.7590335586,-122.427014077
Trash Can,Children's Play Area Trash Cans,2,37.7589805531,-122.426787856
Trash Can,Children's Play Area Trash Cans,2,37.7588445809,-122.426677242
Trash Can,Perennial Bed Trash Cans,3,37.7599982028,-122.428104489
Trash Can,Picnic Area 2 Trash Cans,4,37.7510827782,-122.404450836
Trash Can,Picnic Area 2 Trash Cans,4,37.7510931201,-122.404453375
Trash Can,Picnic Area 2 Trash Cans,4,37.7510648299,-122.404444121
Trash Can,Turf Trash Cans,5,37.7509751355,-122.404955874
Trash Can,Turf Trash Cans,5,37.7512343607,-122.405756781
Trash Can,Turf Trash Cans,5,37.7511356527,-122.405374676
Trash Can,Picnic Area 1 Trash Cans,4,37.7504263776,-122.404441193
Trash Can,Picnic Area 1 Trash Cans,4,37.7504311234,-122.40442441
Trash Can,Picnic Area 1 Trash Cans,4,37.750439131,-122.404413346
Trash Can,Picnic Area 1 Trash Cans,4,37.7504493309,-122.404405154
Trash Can,Performance Space Trash Cans,1,37.7503635071,-122.404801621
Trash Can,Concrete Pathway Trash Cans,2,37.7501539192,-122.405341082
Trash Can,Turf Trash Cans,5,37.7501322673,-122.405046418
Trash Can,Asphalt Pathway Trash Cans,2,37.7609411558,-122.426323259
Trash Can,Asphalt Pathway Trash Cans,2,37.7613227927,-122.426352953
Trash Can,Turf Trash Cans,3,37.7611409352,-122.427285116
Trash Can,Concrete Pathway Trash Cans,7,37.7597065124,-122.42682384
Trash Can,Concrete Pathway Trash Cans,7,37.7595886347,-122.426796371
Trash Can,Picnic Area 3 Trash Cans,1,37.7595802504,-122.427375575
Trash Can,Concrete Pathway Trash Cans,7,37.759752868,-122.426150544
Trash Can,North Pathway Trash Cans,2,37.8010972907,-122.410225589
Trash Can,North East Pathway PB Trash Cans,2,37.801015431,-122.409513032
Trash Can,Lawn Area Trashcan,8,37.7914350711,-122.438779128
Trash Can,North East Pathway PB Trash Cans,2,37.8011194221,-122.409983531
Trash Can,Lawn Area Trashcan,8,37.7917185111,-122.437950136
Trash Can,Lawn Area Trashcan,8,37.791744784,-122.437672234
Trash Can,Pathway Trash Cans,5,37.8004972715,-122.409315438
Trash Can,Pathway Trash Cans,5,37.8012589688,-122.409440903
Trash Can,Pathway Trash Cans,5,37.8010757767,-122.410912314
Trash Can,Pathway Trash Cans,5,37.8008250661,-122.410767642
Trash Can,Pathway Trash Cans,5,37.8006466397,-122.410515779
Trash Can,Basketball Court Trash Can,1,37.7838311676,-122.451238417
Trash Can,Tennis Court Trash Can,1,37.7839184251,-122.451624015
Trash Can,Softball Trash Can,1,37.7841499862,-122.450672583
Trash Can,Children's Play Area Trash Can,1,37.7837492825,-122.451096727
Trash Can,Hardscaped Area Trash Cans,2,37.7828559881,-122.490973648
Trash Can,Hardscaped Area Trash Cans,2,37.7828757497,-122.490641662
Trash Can,North Pathway Trash Cans,2,37.801073123,-122.410436826
Trash Can,Tennis Court 1 Trash Can,1,37.7851013124,-122.478332389
Trash Can,Basketball Court 1 Trash Can,1,37.7850949949,-122.478302785
Trash Can,Ballfield Trash Can,1,37.7437919324,-122.440498702
Trash Can,Concrete Pathway Trash Cans,2,37.7433079157,-122.441221248
Trash Can,Perennial Bed Trash Cans,1,37.7442491688,-122.440344196
Trash Can,Children's Play Area Trash Can,1,37.7435157475,-122.440207179
Trash Can,Multi-Use Ball Field Trash Cans,2,37.7551258415,-122.3972139
Trash Can,Multi-Use Ball Field Trash Cans,2,37.7554027028,-122.397495278
Trash Can,Softball Field Trash Cans,3,37.7558107429,-122.39645216
Trash Can,Softball Field Trash Cans,3,37.7552955998,-122.396366187
Trash Can,Softball Field Trash Cans,3,37.7560003173,-122.397053013
Trash Can,Turf Trash Cans,8,37.7560322161,-122.397700453
Trash Can,DG Pathway Trash Cans,3,37.7560659012,-122.397704461
Trash Can,DG Pathway Trash Cans,3,37.7561018105,-122.396793816
Trash Can,DG Pathway Trash Cans,3,37.7560928953,-122.396881753
Trash Can,Children's Play Area 2 Trash Cans,1,37.7563628135,-122.396731207
Trash Can,Turf Trash Cans,8,37.7563895588,-122.396933411
Trash Can,Turf Trash Cans,8,37.7563565904,-122.397428498
Trash Can,Turf Trash Cans,8,37.7564912285,-122.397450831
Trash Can,Basketball Court Trash Cans,1,37.7568100856,-122.397078508
Trash Can,Turf Trash Cans,8,37.7569085617,-122.397613952
Trash Can,Turf Trash Cans,8,37.7569024676,-122.397556302
Trash Can,Turf Trash Cans,8,37.7568875628,-122.397500638
Trash Can,Turf Trash Cans,8,37.7568622347,-122.397438074
Trash Can,Children's Play Area Trash Cans,3,37.7391631752,-122.449312332
Trash Can,Children's Play Area Trash Cans,3,37.7391684732,-122.449310995
Trash Can,Children's Play Area Trash Cans,3,37.7391734774,-122.44930965
Trash Can,Softball Field Trash Cans,1,37.7389028555,-122.4493151
Trash Can,Concrete Pathway Trash Cans,2,37.738405856,-122.449043339
Trash Can,Concrete Pathway Trash Cans,2,37.7384394141,-122.449034623
Trash Can,Softball Field Trash Can,1,37.7244177823,-122.473898325
Trash Can,Turf Area Trash Can,1,37.7248628403,-122.473538528
Trash Can,Basketball Court Trash Can,1,37.7249093263,-122.473880523
Trash Can,Multi-Use Paved Playfield Trash Can,2,37.7250779858,-122.473926593
Trash Can,Multi-Use Paved Playfield Trash Can,2,37.7252182277,-122.474142289
Trash Can,Concrete Pathway Trash Cans,1,37.7335478831,-122.421487454
Trash Can,DPA Hardscape Trash Cans,2,37.7326630226,-122.420843228
Trash Can,DPA Hardscape Trash Cans,2,37.7328290944,-122.421008031
Trash Can,Asphalt Pathway Trash Cans,3,37.7637850861,-122.438421061
Trash Can,Asphalt Pathway Trash Cans,3,37.7637404031,-122.438590627
Trash Can,Non-Landscaped Greenspace Trash Cans,1,37.7639207535,-122.438038631
Trash Can,Turf Trash Cans,3,37.7582628717,-122.427781037
Trash Can,Concrete Pathway Trash Cans,7,37.7582509224,-122.426733727
Trash Can,Non-Landscaped Greenspace Trash Cans,1,37.7651872621,-122.440870952
Trash Can,Randall Museum Hardscaped Area Trash Cans,1,37.7652964397,-122.440207991
Trash Can,Dog Play Area Trash Cans,2,37.7653240312,-122.440167878
Trash Can,Dog Play Area Trash Cans,2,37.7653220572,-122.440136197
Trash Can,Natural Area Trash Cans,2,37.7645638252,-122.437078391
Trash Can,Concrete Pathway Trash Cans,1,37.7940907217,-122.417363923
Trash Can,Children's Play Area Trash Cans,1,37.7940626285,-122.417495144
Trash Can,Perennial Bed Trash Cans,1,37.7941717628,-122.417366285
Trash Can,Asphalt Pathway Trash Cans,4,37.7134348285,-122.415983325
Trash Can,Asphalt Pathway Trash Cans,4,37.7134238242,-122.415977804
Trash Can,Asphalt Pathway Trash Cans,4,37.7134114344,-122.415972248
Trash Can,Asphalt Pathway Trash Cans,4,37.7133991004,-122.415963202
Trash Can,Children's Play Area Trash Cans,1,37.7136692306,-122.415980638
Trash Can,Basketball Court Trash Cans,1,37.7141619904,-122.416548445
Trash Can,Children's Play Area Trash Can,4,37.7379823701,-122.484884162
Trash Can,Children's Play Area Trash Can,4,37.7377651988,-122.484870757
Trash Can,Children's Play Area Trash Can,4,37.7377336054,-122.48486421
Trash Can,Children's Play Area Trash Can,4,37.7377646676,-122.484543767
Trash Can,Bob Chaney Field,2,37.7387634629,-122.484849896
Trash Can,Bob Chaney Field,2,37.7387686307,-122.484812013
Trash Can,Turf Trash Can,4,37.7388383716,-122.483589904
Trash Can,Turf Trash Can,4,37.7388444657,-122.483496915
Trash Can,Turf Trash Can,4,37.7388488909,-122.483413388
Trash Can,Turf Trash Can,4,37.73885338,-122.483326059
Trash Can,Picnic Area 2 Trash Cans,4,37.7510730445,-122.404448191
Trash Can,Concrete Pathway Trash Cans,2,37.7506088562,-122.405531754
Trash Can,Turf Trash Cans,5,37.7506844633,-122.40495841
Trash Can,Natural Area Trash Cans,1,37.7336060302,-122.439198748
Trash Can,Natural Area Trash Can,2,37.7557105924,-122.472039216
Trash Can,Natural Area Trash Can,2,37.7563777819,-122.471084302
Trash Can,Asphalt Pathway Trash Cans,3,37.7637378216,-122.438485279
Trash Can,Children's Play Area Trash Cans,1,37.7638752254,-122.399543589
Trash Can,Basketball Court Trash Cans,2,37.7639034759,-122.399566848
Trash Can,Basketball Court Trash Cans,2,37.7638562935,-122.399563839
Trash Can,Tot's Play Area Trash Cans,1,37.7639596614,-122.399188781
Trash Can,Turf Trash Cans,6,37.7640308443,-122.399034654
Trash Can,Turf Trash Cans,6,37.7640305394,-122.399053576
Trash Can,Turf Trash Cans,6,37.7640287169,-122.399077868
Trash Can,Picnic Area Trash Cans,3,37.7642049865,-122.398841692
Trash Can,Picnic Area Trash Cans,3,37.764176823,-122.398813027
Trash Can,Picnic Area Trash Cans,3,37.7641433082,-122.39885003
Trash Can,Turf Trash Cans,6,37.76411653,-122.398957519
Trash Can,Turf Trash Cans,6,37.7641625827,-122.398897399
Trash Can,Trash Cans,19,37.7761260762,-122.433403874
Trash Can,Trash Cans,19,37.7758672975,-122.434412547
Trash Can,Trash Cans,19,37.7762230909,-122.436193156
Trash Can,Trash Cans,19,37.7768695635,-122.435169615
Trash Can,Trash Cans,19,37.7765494292,-122.436022492
Trash Can,Trash Cans,19,37.7768119374,-122.435817143
Trash Can,Trash Cans,19,37.7766196804,-122.435695492
Trash Can,Trash Cans,19,37.7763033085,-122.435010848
Trash Can,Trash Cans,19,37.7758818731,-122.435482238
Trash Can,Trash Cans,19,37.7757541489,-122.435841777
Trash Can,Trash Cans,19,37.775928084,-122.435190854
Trash Can,Trash Cans,19,37.7758063441,-122.434784955
Trash Can,Trash Cans,19,37.7759199816,-122.434535646
Trash Can,Trash Cans,19,37.7764863703,-122.434617761
Trash Can,Trash Cans,19,37.7765155794,-122.43477621
Trash Can,Trash Cans,19,37.7764132107,-122.433652651
Trash Can,Turf Trash Cans,5,37.7819665063,-122.42662414
Trash Can,Concrete Pathway Trash Can,2,37.7096232991,-122.447016648
Trash Can,Basketball Court Trash Can,1,37.7096537757,-122.44708553
Trash Can,Tennis Court Trash Can,1,37.7097526772,-122.44679421
Trash Can,Turf Trash Cans,1,37.7256759041,-122.393147432
Trash Can,Children's Play Area Trash Cans,1,37.7258560017,-122.393388364
Trash Can,Concrete Pathway Trash Cans,3,37.7733260193,-122.427062304
Trash Can,Concrete Pathway Trash Cans,3,37.7733414249,-122.426956659
Trash Can,Children's Play Area Trash Cans,1,37.7732501345,-122.426702291
Trash Can,Concrete Pathway Trash Cans,3,37.7732605888,-122.426410516
Trash Can,Parking Lot Trash Can,4,37.7834620551,-122.477732683
Trash Can,Parking Lot Trash Can,4,37.7834622501,-122.477721058
Trash Can,Parking Lot Trash Can,4,37.7834624384,-122.477709835
Trash Can,Parking Lot Trash Can,4,37.7834629639,-122.477697417
Trash Can,Concrete Paths Trash Can,2,37.7833089783,-122.477807609
Trash Can,Concrete Paths Trash Can,2,37.7832619468,-122.477803148
Trash Can,Picnic Area Trash Cans,1,37.8012767891,-122.416841817
Trash Can,Sharon Meadow Trash Can,10,37.7688946577,-122.456562896
Trash Can,Sharon Meadow Trash Can,10,37.7692453009,-122.456485056
Trash Can,Koret Playground Trash Can,3,37.7684045058,-122.457279541
Trash Can,Koret Playground Trash Can,3,37.7683668382,-122.45741034
Trash Can,Herschel-Spillman Carousel Trash Can,3,37.7681295331,-122.457862998
Trash Can,Herschel-Spillman Carousel Trash Can,3,37.7681653649,-122.457842762
Trash Can,Koret Playground Trash Can,3,37.7682192226,-122.457637083
Trash Can,Carousel Concession Stand Trash Can,1,37.7680187479,-122.458234268
Trash Can,Herschel-Spillman Carousel Trash Can,3,37.7679809397,-122.458148549
Trash Can,Koret Playground Trash Can,3,37.7678955712,-122.458339277
Trash Can,Koret Playground Trash Can,3,37.7680796896,-122.458501809
Trash Can,Natural Area Trash Cans,2,37.7651651797,-122.438520595
Trash Can,Asphalt Pathway Trash Cans,4,37.7627858778,-122.451930071
Trash Can,Annual Beds Trash Cans,1,37.762852418,-122.451569508
Trash Can,Asphalt Pathway Trash Cans,4,37.7626058274,-122.452050328
Trash Can,Asphalt Pathway Trash Cans,4,37.7626069114,-122.452040005
Trash Can,Asphalt Pathway Trash Cans,4,37.7626091932,-122.452030864
Trash Can,DG Pathway Trash Cans,1,37.751709348,-122.438916789
Trash Can,Concrete Pathway Trash Cans,7,37.7596956556,-122.426104672
Trash Can,CPA Trash Can,1,37.788442121,-122.449748193
Trash Can,Concrete Pathway Trash Cans,7,37.795510735,-122.397127836
Trash Can,Concrete Pathway Trash Cans,7,37.7955198144,-122.397025115
Trash Can,Concrete Pathway Trash Cans,7,37.7962239484,-122.397463027
Trash Can,Concrete Pathway Trash Can,4,37.7698666295,-122.431968254
Trash Can,Asphalt Pathway Trash Cans,3,37.7495337883,-122.412492298
Trash Can,Asphalt Pathway Trash Cans,3,37.7497179706,-122.41224622
Trash Can,Concrete Hardscaped Area Trash Cans,2,37.749923446,-122.406489781
Trash Can,Concrete Hardscaped Area Trash Cans,2,37.7499248127,-122.406486188
Trash Can,Baseball Field 1 Trash Cans,2,37.7498523672,-122.406521622
Trash Can,Baseball Field 1 Trash Cans,2,37.7498935534,-122.406439089
Trash Can,Children's Play Area Trash Cans,5,37.7581476156,-122.413064756
Trash Can,Parking Lot Trash Can,1,37.758061595,-122.412804241
Trash Can,Children's Play Area Trash Cans,2,37.7503570353,-122.406416279
Trash Can,Perennial Bed Trash Cans,3,37.7589672332,-122.428079706
Trash Can,Perennial Bed Trash Cans,3,37.7604789491,-122.428220915
Trash Can,Concrete Pathway Trash Cans,7,37.7598883293,-122.426164961
Trash Can,Concrete Pathway Trash Can,4,37.7694384926,-122.433984424
Trash Can,Children's Play Area Trash Can,1,37.7694786092,-122.433592424
Trash Can,Concrete Pathway Trash Can,1,37.7974104242,-122.444890265
Trash Can,Baseball Field Trash Can,1,37.7438894197,-122.479719468
Trash Can,Turf Trash Can,1,37.7446494103,-122.479126599
Trash Can,Children's Play Area Trash Can,1,37.7437476588,-122.480921303
Trash Can,DG Paths Trash Cans,3,37.7605167288,-122.390656711
Trash Can,DG Paths Trash Cans,3,37.7604887483,-122.391231899
Trash Can,LA Trash Cans,4,37.7609342434,-122.391347553
Trash Can,LA Trash Cans,4,37.7615162531,-122.391141077
Trash Can,LA Trash Cans,4,37.761525,-122.390929833
Trash Can,LA Trash Cans,4,37.7615185149,-122.390809107
Trash Can,DG Paths Trash Cans,3,37.761223136,-122.390733081
Trash Can,Non-Landscaped Greenspace Trash Can,1,37.7499342151,-122.469248677
Trash Can,Children's Play Area Trash Can,1,37.7501056604,-122.468844117
Trash Can,Asphalt Pathway Trash Can,1,37.7501449234,-122.468690373
Trash Can,DG Pathway Trash Can,1,37.7309405521,-122.480394284
Trash Can,Dog Play Area Trash Cans,3,37.7817055535,-122.426007358
Trash Can,Turf Trash Cans,5,37.7820728647,-122.425896017
Trash Can,Turf Trash Cans,5,37.7822352026,-122.424559961
Trash Can,Dog Play Area Trash Cans,3,37.7819010663,-122.426020929
Trash Can,Concrete Pathway Trash Cans,5,37.7819904398,-122.425874361
Trash Can,Turf Trash Cans,5,37.7815329268,-122.425236603
Trash Can,Turf Trash Cans,5,37.781774335,-122.425305916
Trash Can,Dog Play Area Trash Cans,3,37.7815696772,-122.426687419
Trash Can,Hardscaped Area Trash Can,3,37.7174804616,-122.470149003
Trash Can,Hardscaped Area Trash Can,3,37.7174863108,-122.470149158
Trash Can,CPA Trash Can (30),1,37.8015147285,-122.43167632
Trash Can,Tennis Court 3 Trash Can (30),1,37.8017949649,-122.431898045
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8028784897,-122.432616619
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8025566304,-122.432089939
Trash Can,Asphalt Pathway Sunset 55 Gallon Trash Can,1,37.8016634894,-122.432338474
Trash Can,Asphalt Pathway 30 Gallon Trash Can,3,37.8017000927,-122.432061775
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8025072791,-122.433929511
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8025066903,-122.433914858
Trash Can,Asphalt Pathway 55 Gallon Trash Can,5,37.8025069989,-122.433896044
Trash Can,Asphalt Pathway 55 Gallon Trash Can,5,37.8025080676,-122.433881432
Trash Can,Asphalt Pathway 55 Gallon Trash Can,5,37.8025083932,-122.433861574
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8027731756,-122.433652021
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8027599929,-122.43364645
Trash Can,Softball Field 3 Trash Can (30),2,37.80176877,-122.43357528
Trash Can,Softball Field 3 Trash Can (30),2,37.8016635075,-122.433417
Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,4,37.8014840617,-122.431900084
Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,4,37.8014944062,-122.431901661
Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,4,37.8015088767,-122.431904651
Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,4,37.8015212957,-122.431906281
Trash Can,Picnic Area Trash Can,2,37.8016137784,-122.433477136
Trash Can,Picnic Area Trash Can,2,37.8014886227,-122.433773189
Trash Can,Picnic Area Trash Can,2,37.8012787829,-122.433731127
Trash Can,Picnic Area Trash Can,2,37.801321749,-122.43332445
Trash Can,Turf Trash Cans,3,37.7962285863,-122.39666676
Trash Can,DPA Turf Trash Cans,3,37.7905951495,-122.438211561
Trash Can,Lawn Area Trashcan,8,37.7904358357,-122.438170933
Trash Can,DPA Turf Trash Cans,3,37.7907564934,-122.436807651
Trash Can,Lawn Area Trashcan,8,37.7913277246,-122.436535859
Trash Can,Lawn Area Trashcan,8,37.791794705,-122.436541958
Trash Can,Play Structure Trash Cans,3,37.7910524718,-122.438013802
Trash Can,Play Structure Trash Cans,3,37.7910536392,-122.437996568
Trash Can,Play Structure Trash Cans,3,37.7910558001,-122.437972675
Trash Can,Play Area Trash Cans,6,37.7908809387,-122.438546728
Trash Can,Play Area Trash Cans,6,37.790887608,-122.43855148
Trash Can,Play Area Trash Cans,6,37.7908924809,-122.438554877
Trash Can,Play Area Trash Cans,6,37.7908960584,-122.438558239
Trash Can,Play Area Trash Cans,6,37.7909001441,-122.43856227
Trash Can,Play Area Trash Cans,6,37.7909052567,-122.438566981
Trash Can,Lawn Area Trashcan,8,37.7905743498,-122.437003518
Trash Can,DPA Turf Trash Cans,3,37.790704319,-122.437182462
Trash Can,Lawn Area Trashcan,8,37.790874581,-122.43705178
Trash Can,Concrete Pathway Trash Cans,2,37.7429417473,-122.440325241
Trash Can,Concrete Pathway Trash Can,1,37.7976511671,-122.419238858
Trash Can,Children's Play Area Trash Cans,1,37.7087731657,-122.41360251
Trash Can,Concrete Pathway Trash Can,1,37.8065866866,-122.419021935
Trash Can,Tennis Court Trash Can,1,37.7847906349,-122.48496574
Trash Can,Paved Multi-use Play Area  2 Trash Can,2,37.7849593116,-122.484975056
Trash Can,Paved Multi-use Play Area  2 Trash Can,2,37.7850267917,-122.484762927
Trash Can,Picnic Area Trash Can,1,37.78499427,-122.484711578
Trash Can,Asphalt Pathway Trash Can,3,37.7850293256,-122.484725735
Trash Can,Asphalt Pathway Trash Can,3,37.7850304,-122.484718553
Trash Can,Asphalt Pathway Trash Can,3,37.7849043731,-122.484331337
Trash Can,Tot's Play Area Trash Can,1,37.7848444404,-122.484291554
Trash Can,Children's Play Area Trash Cans,2,37.7504862534,-122.406347783
Trash Can,Children's Play Area Trash Cans,2,37.7502530968,-122.406610863
Trash Can,Asphalt Pathway Trash Cans,3,37.749619645,-122.412539098
Trash Can,Children's Play Area Trash Cans,5,37.7580900386,-122.413239918
Trash Can,Children's Play Area Trash Cans,5,37.7580816581,-122.413239199
Trash Can,Children's Play Area Trash Cans,5,37.7580814224,-122.413229126
Trash Can,Children's Play Area Trash Cans,5,37.7580827847,-122.413219096
Trash Can,Turf Trash Cans,1,37.7335389935,-122.447073954
Trash Can,Asphalt Pathway Trash Cans,4,37.7335992191,-122.447395293
Trash Can,Asphalt Pathway Trash Cans,4,37.7337078437,-122.447691378
Trash Can,Asphalt Pathway Trash Cans,4,37.7338403778,-122.4483108
Trash Can,Asphalt Pathway Trash Cans,4,37.733448159,-122.448380234
Trash Can,Erle Field Trash Can,1,37.748094947,-122.49896275
Trash Can,Multi-Use Paved Playfield Trash Can,1,37.7478388261,-122.497650612
Trash Can,Asphalt Pathway Trash Cans,15,37.7913102192,-122.428593381
Trash Can,Dog Play Area Trash Cans,2,37.7917736646,-122.427488136
Trash Can,Asphalt Pathway Trash Cans,15,37.7910435642,-122.427347093
Trash Can,Concrete Pathway Trash Cans,5,37.7820055243,-122.425561804
Trash Can,Concrete Pathway Trash Cans,5,37.7823373529,-122.424496796
Trash Can,Concrete Pathway Trash Cans,5,37.7818988155,-122.425744777
Trash Can,Concrete Pathway Trash Cans,5,37.7820684036,-122.42564338
Trash Can,Asphalt Pathway Trash Cans,5,37.782337428,-122.435550883
Trash Can,Turf Trash Cans,1,37.7842049205,-122.435743588
Trash Can,Multi-Use Paved Play Area Trash Cans,2,37.784282217,-122.436151998
Trash Can,Children's Play Area 1 Trash Cans,1,37.7843140142,-122.435950121
Trash Can,Children's Play Area 2 Trash Cans,1,37.7844323543,-122.435371868
Trash Can,Turf Trash Cans,1,37.770404685,-122.4419903
Trash Can,Perennial Bed Trash Cans,9,37.7701178348,-122.442071922
